PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST
Monroe (MI),MIS_LMI,DFO,0,2.7,0,0
Monroe (MI),MIS_LMI,DFO,0,2.7,0,0
Monroe (MI),MIS_LMI,DFO,0,2.7,0,0
Monroe (MI),MIS_LMI,DFO,0,2.7,0,0
Northeast (MI),MIS_LMI,NG,0,16.0,0,0
Northeast (MI),MIS_LMI,NG,0,16.0,0,0
Northeast (MI),MIS_LMI,NG,0,16.0,0,0
Northeast (MI),MIS_LMI,NG,0,23.4,0,0
Northeast (MI),MIS_LMI,DFO,0,21.2,0,0
Northeast (MI),MIS_LMI,DFO,0,21.2,0,0
Oliver,MIS_LMI,DFO,0,2.7,0,0
Oliver,MIS_LMI,DFO,0,2.7,0,0
Oliver,MIS_LMI,DFO,0,2.7,0,0
Oliver,MIS_LMI,DFO,0,2.7,0,0
Oliver,MIS_LMI,DFO,0,2.7,0,0
Placid 12,MIS_LMI,DFO,0,2.7,0,0
