Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
6251,9,261,12,5393.76900859483,7058.52205097751,9814.27230686829,14323.7437656512,17309.3784336936,1827.083165561,7973.06231398162,5712.70628722997,21383.0345267362
6252,9,261,13,5359.77854861713,6999.56565370887,9917.00993489352,14241.9818934197,17054.7828978513,1827.86357366511,7880.47355964738,5697.60951397782,21158.3939625195
6253,9,261,14,5354.44134119156,6957.12362300539,9952.19845879223,14123.3962138412,17050.5504653379,1814.1955684854,7814.5626508508,5692.95036429603,21070.9545016153
6254,9,261,15,5275.66254415317,6968.55391814227,10035.1591051585,13923.9588471303,17032.5325936279,1818.69948054738,7667.49003745224,5696.51490772509,20940.3911848747
6255,9,261,16,5349.74498888393,7083.71661779499,9973.41003649163,13918.8404350887,17411.8173774214,1863.15781187633,7772.485372636,5794.28132687847,21164.2587581137
6256,9,261,17,5356.11544335584,7212.03369243285,9916.43719354535,13734.027730537,17251.3125464021,1831.83159973852,7658.37390397087,5739.77525284705,21116.0955344383
6257,9,261,18,5199.66178256,7073.66029719825,10181.9386450651,13411.1852432776,16721.8254597665,1783.18901229361,7427.35705867756,5527.3257214554,20580.0939902603
6258,9,261,19,5021.88197668203,6784.74020322841,10095.0114625049,12979.6792021373,15962.3416516383,1719.61611033555,7063.61367748732,5251.93925070153,19576.22719059
6259,9,261,20,4759.49395081292,6434.45407395437,9826.70381934646,12524.880904295,15084.8774153682,1637.63826474493,6696.28715459144,4935.26568192134,18446.2841995311
6260,9,261,21,4528.29244132764,6138.53826661104,9355.57271312954,12078.3494664216,14207.7529309544,1587.59092322585,6309.79582350874,4690.09059448284,17592.41033556
6261,9,261,22,4389.01921997197,5956.31552943242,8904.58563746909,11747.8896970363,13499.7495543255,1554.99915850194,5996.60981195305,4523.63363769103,16515.8750222644
6262,9,261,23,4309.37590123821,5806.541930213,8461.37237664118,11488.4632176146,12943.48695581,1522.9928739082,5734.20528285291,4401.58720138564,16079.6023155799
6263,9,261,24,4284.00505641407,5649.24664496301,8130.9268224876,11281.5912046965,12540.2032641724,1503.95541434448,5538.59243595367,4338.63755084794,15701.6218512149
6264,9,262,1,4274.41140847878,5605.42194271061,7876.45384429941,11155.8085169512,12253.7304632037,1491.72428438302,5394.48658023686,4337.31798036462,15674.8633565586
6265,9,262,2,4282.35111637011,5645.26256059268,7644.56242990945,11127.3494634954,12177.719201771,1527.11607882485,5351.94724728275,4397.3861882557,15768.2460682029
6266,9,262,3,4333.2656545184,5727.50215811078,7628.59403924119,11162.8412020181,12336.6970476922,1572.83796392564,5462.18440638154,4567.40002084064,15960.5670104613
6267,9,262,4,4406.76341070323,5920.06959781988,7667.5445247565,11287.4401594358,12526.7990423147,1609.27470621904,5557.63061665539,4772.17272138015,16506.0338220036
6268,9,262,5,4554.59119988159,6082.26135118448,7721.88372535613,11643.0176374496,13105.7374014552,1683.25200368755,5874.79760702648,5065.15131377602,17261.9255450075
6269,9,262,6,4753.81293001523,6307.99925018503,7853.36953120738,12023.5158637059,13742.2918539805,1735.66267296,6191.10173117674,5294.79761682211,18018.1699528907
6270,9,262,7,4867.33453251327,6535.03640643239,8164.10611597363,12276.7552272656,14246.9968431777,1754.15946478286,6478.21491331593,5398.44054097481,18566.2685510082
6271,9,262,8,4925.6132955969,6649.26805837537,8574.52428977742,12483.8012498356,14507.460009948,1787.11466630871,6626.62367641877,5499.30310020355,18843.4272874672
6272,9,262,9,5005.12045665652,6736.75587534566,8954.57272514704,12715.6327478839,14849.0366269777,1790.16062176049,6750.88801905222,5547.33662218185,19174.1052663541
6273,9,262,10,5025.48539301794,6795.03201427186,9183.33752879093,12782.5848993979,14905.4229056645,1783.06950728943,6818.047816536,5533.13281144964,19473.3488736444
6274,9,262,11,5040.89321867747,6821.46405791093,9404.46641040077,12866.1376835881,14993.8574628116,1780.60268694095,6893.74517123198,5514.25698688932,19711.3680641482
6275,9,262,12,5041.48188568919,6921.4846130231,9547.27350553063,12921.3256355822,15218.1487294014,1785.29024135903,7006.50083557539,5540.84141948172,20047.6081336624
6276,9,262,13,5127.7310692217,7041.75212375338,9756.81636230179,12988.4646601198,15518.7758812505,1815.92502472179,7058.64729569123,5611.74649660475,20427.8679950243
6277,9,262,14,5236.58737285675,7142.35960788198,9980.73859245568,13126.1280079205,15997.2175031666,1860.00239183308,7249.06846142087,5697.56774216893,20823.3646540327
6278,9,262,15,5287.85895527829,7189.26029922601,10123.542464345,13199.4013879381,16375.2101074647,1867.07523491676,7370.2899401148,5793.29473238653,20972.5488760939
6279,9,262,16,5403.37948790334,7374.13108213762,10195.2918756678,13374.8031247852,16878.622216237,1919.37551940607,7565.22884993648,5975.10611769487,21333.3918236256
6280,9,262,17,5405.6163867414,7528.19691702373,10165.0233321153,13230.8147327365,16745.4234190386,1924.18684853567,7502.64151258768,5909.76634728791,21567.56909648
6281,9,262,18,5236.55215192196,7257.90077893157,10541.1250519294,12886.7131557945,16162.1953832742,1850.78595495129,7287.38859469015,5622.81071587268,20679.5863299766
6282,9,262,19,4921.71268337838,6960.65656394175,10402.5210681048,12439.4023368716,15346.4862901931,1754.29623452282,6900.73982391298,5324.25802261024,19443.5068749752
6283,9,262,20,4744.15619887309,6664.97830709029,10053.192737101,11975.3341329378,14468.125508167,1697.16472697586,6487.93447079451,5066.70370167419,18269.6812089901
6284,9,262,21,4583.90248929941,6419.61119619493,9603.23356913133,11587.8256222394,13751.7944332564,1683.94851142372,6112.82607050865,4854.72481281508,17887.2100692037
